0,10,2400,0,0,60,60
1,20,2600,0,0,70,70
2,40,2800,0,0,80,80
3,60,3000,0,0,90,90
4,80,3200,0,0,100,100
5,100,3400,0,0,100,100
6,120,3600,0,0,100,100
7,140,3800,0,0,100,100
8,160,3800,0,0,100,100
9,180,3800,0,0,100,100
10,200,3800,0,0,100,100
11,220,3800,0,0,100,100
12,240,3800,0,0,100,100
13,260,3800,0,0,100,100
14,280,3800,0,0,100,100
15,300,3800,0,0,100,100
16,320,3800,0,0,100,100
17,340,3800,0,0,100,100
18,360,3800,0,0,100,100
19,380,3800,0,0,100,100
20,400,3800,0,0,100,100
21,420,3800,0,0,100,100
22,440,3800,0,0,100,100
23,460,3800,0,0,100,100
24,480,3800,0,0,100,100
25,500,3800,0,0,100,100
26,520,3800,0,0,100,100
27,540,3800,0,0,100,100
28,560,3800,0,0,100,100
29,580,3800,0,0,100,100
30,600,3800,0,0,100,100
31,620,3800,0,0,100,100
32,640,3800,0,0,100,100
33,660,3800,0,0,100,100
34,680,3800,0,0,100,100
35,700,3800,0,0,100,100
36,720,3800,0,0,100,100
37,740,3800,0,0,100,100
38,760,3800,0,0,100,100
39,780,3800,0,0,100,100
40,800,3800,0,0,100,100
41,820,3800,0,0,100,100
42,840,3800,0,0,100,100
43,860,3800,0,0,100,100
44,880,3800,0,0,100,100
45,900,3800,0,0,100,100
46,920,3800,0,0,100,100
47,940,3800,0,0,100,100
48,960,3800,0,0,100,100
49,980,3800,0,0,100,100
50,1000,3800,0,0,100,100
51,1000,3800,0,0,100,100
52,1000,3800,0,0,100,100
53,1000,3800,0,0,100,100
54,1000,3800,0,0,100,100
55,1000,3800,0,0,100,100
56,1000,3800,0,0,100,100
57,1000,3800,0,0,100,100
58,1000,3800,0,0,100,100
59,1000,3800,0,0,100,100
60,1000,3800,0,0,100,100
61,2000,3800,0,0,100,100
62,2000,3800,0,0,100,100
63,2000,3800,0,0,100,100
64,2000,3800,0,0,100,100
65,2000,3800,0,0,100,100
66,2000,3800,0,0,100,100
67,2000,3800,0,0,100,100
68,2000,3800,0,0,100,100
69,2000,3800,0,0,100,100
70,2000,3800,0,0,100,100
